ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
12858,14007854,Comet,"48 Pembroke St, Hamilton",1361,1800812.2888,5814330.9634
4616,14007858,Rototuna,"1086 Heaphy Tce, Hamilton",1362,1800917.3809,5817476.8172
9022,14007858,Flagstaff,"1086 Heaphy Tce, Hamilton",1363,1800917.3809,5817476.8172
19537,14007861,Meteor,"248 Rotokauri Rd, Hamilton",1364,1795980.4538,5817972.1978
3771,14007872,Orbiter,"49 Discovery Dr, Hamilton",1365,1798215.2255,5821523.8363
9022,14007872,Flagstaff,"49 Discovery Dr, Hamilton",1366,1798215.2255,5821523.8363
4610,14007877,University,"31 Cameron Rd, Hamilton",1367,1803354.6017,5815155.2567
4612,14007880,Claudelands,"Opp 46 Raymond St, Hamilton",1368,1803061.5342,5818200.825
19537,14007882,Meteor,"Silverdale Rd, Hamilton (near Ruakura Interchange)",1369,1804383.4952,5815728.2614
4618,14007882,Hamilton Gardens Uni,"Silverdale Rd, Hamilton (near Ruakura Interchange)",1370,1804383.4952,5815728.2614
15643,14007886,Bremworth / Templeview,"96 Poaka Ave, Hamilton",1371,1797543.7157,5813832.9313
4612,14007890,Claudelands,"Webb Dr, Hamilton (Northbound)",1372,1802784.2835,5819226.2213
4616,14007899,Rototuna,"40 Cate Rd, Hamilton",1373,1799655.1906,5821837.078
4641,14007899,Flagstaff North,"40 Cate Rd, Hamilton",1374,1799655.1906,5821837.078
4618,14007909,Hamilton Gardens Uni,"1 Wellington St, Hamilton",1375,1801769.5256,5814344.2835
4648,14007915,Chartwell,"39 Pulham Cr, Hamilton",1376,1799963.9371,5819750.2555
4610,14007920,University,"42 Cameron Rd, Hamilton",1377,1803309.7964,5815371.2232
4604,14007921,Hillcrest,"248 Grey St, Hamilton",1378,1802006.007,5814361.9093
4620,14007928,Te Rapa,"Garnett Ave, Hamilton (opp Te Rapa Shops)",1379,1798406.4678,5817842.258
4618,14007931,Hamilton Gardens Uni,"33 Jellicoe Dr, Hamilton",1380,1801557.3562,5814024.2566
4606,14007933,Fairfield,"85 Snell Dr, Hamilton",1381,1801609.2272,5818150.8768
4618,14007935,Hamilton Gardens Uni,"65 Brookfield St, Hamilton",1382,1802964.5701,5813904.7122
3771,14007946,Orbiter,"181 Pūkete Rd, Hamilton",1383,1797256.1699,5820691.998
4641,14007948,Flagstaff North,"Opp 36 Te Huia Dr, Hamilton",1384,1797260.0203,5822069.3689
9032,14007948,Rototuna Circular,"Opp 36 Te Huia Dr, Hamilton",1385,1797260.0203,5822069.3689
4612,14007952,Claudelands,"Opp 27 Stanley St, Hamilton",1386,1801271.6573,5816618.3255
