WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1826080.15565 5532074.1869)",231100,Royal Oak (Palmerston North City),1.62616019,1.62616019,-40.331272623787335,175.6613071515825,1826080.1556621965,5532074.186899999,1826080.15565,5532074.1869
"POINT (1821064.29545 5528181.71335)",231200,West End,1.16131805,1.16131805,-40.36764761669566,175.60366898018026,1821064.2954500006,5528181.713354489,1821064.29545,5528181.71335
"POINT (1820125.36155 5526943.4939)",231300,Awapuni South,1.67138843,1.67138843,-40.37903992264581,175.5930484976917,1820125.361549999,5526943.493922706,1820125.36155,5526943.4939
"POINT (1822357.7679 5529063.1334)",231400,Milverton,0.5645066,0.5645066,-40.35937113949221,175.61858112430073,1822357.7679112875,5529063.133400001,1822357.7679,5529063.1334
"POINT (1824463.8884 5530026.5711)",231500,Ruamahanga,1.53170712,1.53170712,-40.3501365121246,175.64302001849555,1824463.8883900007,5530026.5711,1824463.8884,5530026.5711
"POINT (1821995.56685 5528238.0094)",231600,Esplanade,1.30575848,1.30575848,-40.36689358631449,175.6146069906794,1821995.5668500015,5528238.009398975,1821995.56685,5528238.0094
"POINT (1822949.12925 5528911.52755)",231700,Hokowhitu Central,0.91032398,0.91032398,-40.360577721148495,175.62559129734953,1822949.1292499998,5528911.527548784,1822949.12925,5528911.52755
"POINT (1823938.7161 5529217.21835)",231800,Hokowhitu East,1.24309948,1.24309948,-40.3575615326413,175.6371263612877,1823938.7161000147,5529217.218338102,1823938.7161,5529217.21835
"POINT (1821265.4887 5525630.9429)",231900,Turitea,9.72054877,9.72054877,-40.39055086208678,175.60692158282572,1821265.4886777697,5525630.9429,1821265.4887,5525630.9429
"POINT (1823308.3598 5527903.5061)",232000,Ruahine,1.57973372,1.57973372,-40.3695535463202,175.6301704381616,1823308.3597905072,5527903.5061,1823308.3598,5527903.5061
"POINT (1819496.5353 5524215.7056)",232100,Linton Camp,4.90483835,4.90483835,-40.40375581376976,175.58658791917827,1819496.5353000003,5524215.705611589,1819496.5353,5524215.7056
"POINT (1834453.3139 5536486.65525)",232200,Ashhurst,4.20738428,4.20738428,-40.28925668004639,175.7581486083233,1834453.3139000016,5536486.655239021,1834453.3139,5536486.65525
"POINT (1824210.3874 5528143.90305)",232300,Hokowhitu South,0.89536257,0.89536257,-40.367148027625134,175.64069952672597,1824210.3873999887,5528143.903023605,1824210.3874,5528143.90305
"POINT (1825536.3543 5528049.0043)",232400,Aokautere,7.14236648,7.14236648,-40.367644547550896,175.65633415757603,1825536.3542750003,5528049.004278824,1825536.3543,5528049.0043
"POINT (1821462.0198 5517901.8034)",232500,Pihauatua,143.83436968,143.83436968,-40.460059115597716,175.61192596623576,1821462.0198013862,5517901.803400001,1821462.0198,5517901.8034
"POINT (1830264.40065 5527742.4967)",232600,Aokautere Rural,83.80928415,83.80928415,-40.36911086176333,175.71207251773086,1830264.4006610573,5527742.4967,1830264.40065,5527742.4967
"POINT (1824420.02825 5525715.5063)",232700,Poutoa,7.06626001,7.06626001,-40.38894624827271,175.64402092423452,1824420.02825,5525715.506305181,1824420.02825,5525715.5063
"POINT (1867888.48455 5554553.4117)",232800,Norsewood,397.44403009,397.44403009,-40.116691199507365,176.143435771466,1867888.4845374792,5554553.4117,1867888.48455,5554553.4117
"POINT (1853685.2733 5542729.46655)",232900,Papatawa,230.05556796,230.05556796,-40.22747714740886,175.98164855425745,1853685.2732726773,5542729.46655,1853685.2733,5542729.46655
"POINT (1839668.45035 5529653.8287)",233000,Mangatainoka,496.79175202,496.79175202,-40.34926271802273,175.8219915371607,1839668.4503500056,5529653.8286765935,1839668.45035,5529653.8287
"POINT (1843492.10375 5530793.89615)",233100,Woodville,4.03940483,4.03940483,-40.337897630712874,175.86652579080683,1843492.1037345454,5530793.89615,1843492.10375,5530793.89615
"POINT (1863978.53345 5545761.1772)",233200,Dannevirke West,2.07393805,2.07393805,-40.197024849331555,176.1012195792088,1863978.5334499986,5545761.177177326,1863978.53345,5545761.1772
"POINT (1864120.4102 5544461.1938)",233300,Dannevirke East,4.73558262,4.73558262,-40.20867517445767,176.10341778468842,1864120.4101834344,5544461.1938000005,1864120.4102,5544461.1938
